id,status,n_drones,coordinator,controller
59,toBeDone,16,dmpc_admm,mpc_agent_adaptive
196,done,16,mpc_central,mpc_agent
197,toBeDone,16,mpc_central,mpc_agent_adaptive
198,done,16,dmpc_admm,mpc_agent
199,toBeDone,16,dmpc_admm,mpc_agent_adaptive
336,done,16,mpc_central,mpc_agent
337,toBeDone,16,mpc_central,mpc_agent_adaptive
338,done,16,dmpc_admm,mpc_agent
339,toBeDone,16,dmpc_admm,mpc_agent_adaptive
476,done,16,mpc_central,mpc_agent
477,toBeDone,16,mpc_central,mpc_agent_adaptive
478,done,16,dmpc_admm,mpc_agent
479,toBeDone,16,dmpc_admm,mpc_agent_adaptive
616,done,16,mpc_central,mpc_agent
617,toBeDone,16,mpc_central,mpc_agent_adaptive
618,done,16,dmpc_admm,mpc_agent
619,toBeDone,16,dmpc_admm,mpc_agent_adaptive
756,done,16,mpc_central,mpc_agent
757,toBeDone,16,mpc_central,mpc_agent_adaptive
758,done,16,dmpc_admm,mpc_agent
759,toBeDone,16,dmpc_admm,mpc_agent_adaptive
896,done,16,mpc_central,mpc_agent
897,toBeDone,16,mpc_central,mpc_agent_adaptive
898,done,16,dmpc_admm,mpc_agent
899,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1036,done,16,mpc_central,mpc_agent
1037,toBeDone,16,mpc_central,mpc_agent_adaptive
1038,done,16,dmpc_admm,mpc_agent
1039,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1176,done,16,mpc_central,mpc_agent
1177,toBeDone,16,mpc_central,mpc_agent_adaptive
1178,done,16,dmpc_admm,mpc_agent
1179,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1316,done,16,mpc_central,mpc_agent
1317,toBeDone,16,mpc_central,mpc_agent_adaptive
1318,done,16,dmpc_admm,mpc_agent
1319,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1456,done,16,mpc_central,mpc_agent
1457,toBeDone,16,mpc_central,mpc_agent_adaptive
1458,done,16,dmpc_admm,mpc_agent
1459,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1596,done,16,mpc_central,mpc_agent
1597,toBeDone,16,mpc_central,mpc_agent_adaptive
1598,done,16,dmpc_admm,mpc_agent
1599,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1736,done,16,mpc_central,mpc_agent
1737,toBeDone,16,mpc_central,mpc_agent_adaptive
1738,done,16,dmpc_admm,mpc_agent
1739,toBeDone,16,dmpc_admm,mpc_agent_adaptive
1876,done,16,mpc_central,mpc_agent
1877,toBeDone,16,mpc_central,mpc_agent_adaptive
1878,done,16,dmpc_admm,mpc_agent
1879,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2016,done,16,mpc_central,mpc_agent
2017,toBeDone,16,mpc_central,mpc_agent_adaptive
2018,done,16,dmpc_admm,mpc_agent
2019,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2156,done,16,mpc_central,mpc_agent
2157,toBeDone,16,mpc_central,mpc_agent_adaptive
2158,done,16,dmpc_admm,mpc_agent
2159,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2296,done,16,mpc_central,mpc_agent
2297,toBeDone,16,mpc_central,mpc_agent_adaptive
2298,done,16,dmpc_admm,mpc_agent
2299,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2436,done,16,mpc_central,mpc_agent
2437,toBeDone,16,mpc_central,mpc_agent_adaptive
2438,done,16,dmpc_admm,mpc_agent
2439,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2576,done,16,mpc_central,mpc_agent
2577,toBeDone,16,mpc_central,mpc_agent_adaptive
2578,done,16,dmpc_admm,mpc_agent
2579,toBeDone,16,dmpc_admm,mpc_agent_adaptive
2716,done,16,mpc_central,mpc_agent
2717,toBeDone,16,mpc_central,mpc_agent_adaptive
2718,done,16,dmpc_admm,mpc_agent
2719,toBeDone,16,dmpc_admm,mpc_agent_adaptive
60,done,17,mpc_central,mpc_agent
61,toBeDone,17,mpc_central,mpc_agent_adaptive
62,done,17,dmpc_admm,mpc_agent
63,toBeDone,17,dmpc_admm,mpc_agent_adaptive
200,done,17,mpc_central,mpc_agent
201,toBeDone,17,mpc_central,mpc_agent_adaptive
202,done,17,dmpc_admm,mpc_agent
203,toBeDone,17,dmpc_admm,mpc_agent_adaptive
340,done,17,mpc_central,mpc_agent
341,toBeDone,17,mpc_central,mpc_agent_adaptive
342,done,17,dmpc_admm,mpc_agent
343,toBeDone,17,dmpc_admm,mpc_agent_adaptive
480,done,17,mpc_central,mpc_agent
481,toBeDone,17,mpc_central,mpc_agent_adaptive
482,done,17,dmpc_admm,mpc_agent
483,toBeDone,17,dmpc_admm,mpc_agent_adaptive
620,done,17,mpc_central,mpc_agent
621,toBeDone,17,mpc_central,mpc_agent_adaptive
622,done,17,dmpc_admm,mpc_agent
623,toBeDone,17,dmpc_admm,mpc_agent_adaptive
760,done,17,mpc_central,mpc_agent
761,toBeDone,17,mpc_central,mpc_agent_adaptive
762,done,17,dmpc_admm,mpc_agent
763,toBeDone,17,dmpc_admm,mpc_agent_adaptive
900,done,17,mpc_central,mpc_agent
901,toBeDone,17,mpc_central,mpc_agent_adaptive
902,done,17,dmpc_admm,mpc_agent
903,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1040,done,17,mpc_central,mpc_agent
1041,toBeDone,17,mpc_central,mpc_agent_adaptive
1042,done,17,dmpc_admm,mpc_agent
1043,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1180,done,17,mpc_central,mpc_agent
1181,toBeDone,17,mpc_central,mpc_agent_adaptive
1182,done,17,dmpc_admm,mpc_agent
1183,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1320,done,17,mpc_central,mpc_agent
1321,toBeDone,17,mpc_central,mpc_agent_adaptive
1322,done,17,dmpc_admm,mpc_agent
1323,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1460,done,17,mpc_central,mpc_agent
1461,toBeDone,17,mpc_central,mpc_agent_adaptive
1462,done,17,dmpc_admm,mpc_agent
1463,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1600,done,17,mpc_central,mpc_agent
1601,toBeDone,17,mpc_central,mpc_agent_adaptive
1602,done,17,dmpc_admm,mpc_agent
